Epoch Time (s),Vehicle State
1473876701.718393,5
1473876702.717419,5
1473876703.717489,5
1473876704.717908,5
1473876705.717759,5
1473876706.717915,5
1473876707.717441,5
1473876708.717426,5
1473876709.717582,5
1473876710.717449,5
1473876711.717442,5
1473876712.717436,5
1473876713.717434,5
1473876714.717532,5
1473876715.717434,5
1473876716.717448,5
1473876717.717436,5
1473876718.717532,5
1473876719.717437,5
1473876720.717461,5
1473876721.717460,5
1473876722.717426,5
1473876723.718901,5
1473876724.717441,5
1473876725.718179,5
1473876726.718949,5
1473876727.717603,5
1473876728.717421,5
1473876729.717779,5
1473876730.717421,5
1473876731.717424,5
1473876732.717439,5
1473876733.717421,5
1473876734.718968,5
1473876735.720201,5
1473876736.719360,5
1473876737.719658,5
1473876738.717453,5
1473876739.717426,5
1473876740.717485,5
1473876741.717437,5
1473876742.717430,5
1473876743.717418,5
1473876744.717440,5
1473876745.718330,5
1473876746.717442,5
1473876747.717449,5
1473876748.717440,5
1473876749.717437,5
1473876750.717423,5
1473876751.717431,5
1473876752.717430,5
1473876753.717531,5
1473876754.717437,5
1473876755.717431,5
1473876756.717452,5
1473876757.717431,5
1473876758.717445,5
1473876759.717429,5
1473876760.719130,5
1473876761.717715,5
1473876762.717463,5
1473876763.718342,5
1473876764.717437,5
1473876765.717421,5
1473876766.717459,5
1473876767.717455,5
1473876768.717464,5
1473876769.717426,5
1473876770.719083,5
1473876771.717581,5
1473876772.717449,5
1473876773.717423,5
1473876774.717455,5
1473876775.717442,5
1473876776.717418,5
1473876777.717421,5
1473876778.717835,5
1473876779.717606,5
1473876780.718182,5
1473876781.717435,5
1473876782.718249,5
1473876783.718594,5
1473876784.720286,5
1473876785.719025,5
1473876786.719391,5
1473876787.721570,5
1473876788.717429,5
1473876789.717605,5
1473876790.717642,5
1473876791.717452,5
1473876792.717452,5
1473876793.717453,5
1473876794.717460,5
1473876795.717441,5
1473876796.717443,5
1473876797.717449,5
1473876798.717456,5
1473876799.717455,5
1473876800.717965,5
1473876801.717451,5
1473876802.717448,5
1473876803.717439,5
1473876804.717464,5
1473876805.717468,5
1473876806.717458,5
1473876807.717660,5
1473876808.718801,5
1473876809.717458,5
1473876810.717441,5
1473876811.717477,5
1473876812.717432,5
1473876813.717456,5
1473876814.717447,5
1473876815.717414,5
1473876816.717414,5
1473876817.717431,5
1473876818.717634,5
1473876819.717431,5
1473876820.717424,5
1473876821.717962,5
1473876822.717433,5
1473876823.718653,5
1473876824.717536,5
1473876825.719063,5
1473876826.717426,5
1473876827.719461,5
1473876828.717816,5
1473876829.718482,5
1473876830.718814,5
1473876831.720097,5
1473876832.719357,5
1473876833.717444,5
1473876834.717430,5
1473876835.717441,5
1473876836.717473,5
1473876837.717420,5
1473876838.717471,5
1473876839.717444,5
1473876840.717487,5
