Epoch Time (s),VP State,Steering Control Mode,Thrust Control Mode,Control Plan State,Alarm ID,Alarm Message,Alarm State,Event ID,Event Message
1473956396.408569,5,0,0,0,,,,,
1473956397.408556,5,0,0,0,,,,,
1473956398.408657,5,0,0,0,,,,,
1473956399.409297,5,0,0,0,,,,,
1473956400.408542,5,0,0,0,,,,,
1473956401.408548,5,0,0,0,,,,,
1473956402.408682,5,0,0,0,,,,,
1473956403.410212,5,0,0,0,,,,,
1473956404.041040,5,0,0,0,,,,,
1473956404.408661,5,0,0,0,,,,,
1473956405.408530,5,0,0,0,,,,,
1473956406.408584,5,0,0,0,,,,,
1473956407.409857,5,0,0,0,,,,,
1473956408.408676,5,0,0,0,,,,,
1473956409.408537,5,0,0,0,,,,,
1473956410.408534,5,0,0,0,,,,,
1473956411.408548,5,0,0,0,,,,,
1473956412.408527,5,0,0,0,,,,,
1473956413.409993,5,0,0,0,,,,,
1473956414.409492,5,0,0,0,,,,,
1473956415.408527,5,0,0,0,,,,,
1473956416.408545,5,0,0,0,,,,,
1473956417.408554,5,0,0,0,,,,,
1473956418.408538,5,0,0,0,,,,,
1473956419.408536,5,0,0,0,,,,,
1473956420.408817,5,0,0,0,,,,,
1473956421.408556,5,0,0,0,,,,,
1473956422.408545,5,0,0,0,,,,,
1473956423.409991,5,0,0,0,,,,,
1473956424.408539,5,0,0,0,,,,,
1473956425.410555,5,0,0,0,,,,,
1473956426.408544,5,0,0,0,,,,,
1473956427.410090,5,0,0,0,,,,,
1473956428.409504,5,0,0,0,,,,,
1473956429.411187,5,0,0,0,,,,,
1473956430.411726,5,0,0,0,,,,,
1473956431.412655,5,0,0,0,,,,,
1473956432.408548,5,0,0,0,,,,,
1473956433.408548,5,0,0,0,,,,,
1473956434.408756,5,0,0,0,,,,,
1473956435.330098,5,0,0,0,,,,,
1473956435.408542,5,0,3,0,,,,,
1473956436.408549,5,0,3,0,,,,,
1473956437.079925,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link timed out,1,,
1473956437.408536,5,0,3,0,,,,,
1473956438.408535,5,0,3,0,,,,,
1473956439.123106,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link re-established,0,,
1473956439.408615,5,0,3,0,,,,,
1473956440.408532,5,0,3,0,,,,,
1473956441.409850,5,0,3,0,,,,,
1473956442.409265,5,0,3,0,,,,,
1473956443.410113,5,0,3,0,,,,,
1473956444.408661,5,0,3,0,,,,,
1473956445.408532,5,0,3,0,,,,,
1473956446.409858,5,0,3,0,,,,,
1473956447.408963,5,0,3,0,,,,,
1473956448.408534,5,0,3,0,,,,,
1473956449.408540,5,0,3,0,,,,,
1473956450.408648,5,0,3,0,,,,,
1473956451.408560,5,0,3,0,,,,,
1473956452.409210,5,0,3,0,,,,,
1473956453.085862,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link timed out,1,,
1473956453.156374,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link re-established,0,,
1473956453.408703,5,0,3,0,,,,,
1473956454.410276,5,0,3,0,,,,,
1473956455.408555,5,0,3,0,,,,,
1473956456.408572,5,0,3,0,,,,,
1473956457.071986,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link timed out,1,,
1473956457.078071,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link re-established,0,,
1473956457.408541,5,0,3,0,,,,,
1473956458.408531,5,0,3,0,,,,,
1473956459.408907,5,0,3,0,,,,,
1473956460.408763,5,0,3,0,,,,,
1473956461.408569,5,0,3,0,,,,,
1473956462.408537,5,0,3,0,,,,,
1473956463.408542,5,0,3,0,,,,,
1473956464.408547,5,0,3,0,,,,,
1473956465.408532,5,0,3,0,,,,,
1473956466.408537,5,0,3,0,,,,,
1473956467.408545,5,0,3,0,,,,,
1473956468.408540,5,0,3,0,,,,,
1473956469.408546,5,0,3,0,,,,,
1473956470.408537,5,0,3,0,,,,,
1473956471.408540,5,0,3,0,,,,,
1473956472.408532,5,0,3,0,,,,,
1473956473.408532,5,0,3,0,,,,,
1473956474.408637,5,0,3,0,,,,,
1473956475.408547,5,0,3,0,,,,,
1473956476.410486,5,0,3,0,,,,,
1473956477.408570,5,0,3,0,,,,,
1473956478.408533,5,0,3,0,,,,,
1473956479.409161,5,0,3,0,,,,,
1473956480.408587,5,0,3,0,,,,,
1473956481.086192,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link timed out,1,,
1473956481.248630,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link re-established,0,,
1473956481.408530,5,0,3,0,,,,,
1473956482.408530,5,0,3,0,,,,,
1473956483.408545,5,0,3,0,,,,,
1473956484.408714,5,0,3,0,,,,,
1473956485.408978,5,0,3,0,,,,,
1473956486.408937,5,0,3,0,,,,,
1473956487.408535,5,0,3,0,,,,,
1473956488.408542,5,0,3,0,,,,,
1473956489.408542,5,0,3,0,,,,,
1473956490.408644,5,0,3,0,,,,,
1473956491.408733,5,0,3,0,,,,,
1473956492.408530,5,0,3,0,,,,,
1473956493.408536,5,0,3,0,,,,,
1473956494.408826,5,0,3,0,,,,,
1473956495.409586,5,0,3,0,,,,,
1473956496.408554,5,0,3,0,,,,,
1473956497.408536,5,0,3,0,,,,,
1473956498.408596,5,0,3,0,,,,,
1473956499.408531,5,0,3,0,,,,,
1473956500.408545,5,0,3,0,,,,,
1473956501.408544,5,0,3,0,,,,,
1473956502.408543,5,0,3,0,,,,,
1473956503.410062,5,0,3,0,,,,,
1473956504.408541,5,0,3,0,,,,,
1473956505.408534,5,0,3,0,,,,,
1473956506.408552,5,0,3,0,,,,,
1473956507.408970,5,0,3,0,,,,,
1473956508.408527,5,0,3,0,,,,,
1473956509.408840,5,0,3,0,,,,,
1473956510.408658,5,0,3,0,,,,,
1473956511.408755,5,0,3,0,,,,,
1473956512.411026,5,0,3,0,,,,,
1473956513.408543,5,0,3,0,,,,,
1473956514.408734,5,0,3,0,,,,,
1473956515.408531,5,0,3,0,,,,,
1473956516.408929,5,0,3,0,,,,,
1473956517.408683,5,0,3,0,,,,,
1473956518.408543,5,0,3,0,,,,,
1473956519.408535,5,0,3,0,,,,,
1473956520.408856,5,0,3,0,,,,,
1473956521.409155,5,0,3,0,,,,,
1473956522.408531,5,0,3,0,,,,,
1473956523.408526,5,0,3,0,,,,,
1473956524.408532,5,0,3,0,,,,,
1473956525.408631,5,0,3,0,,,,,
1473956526.408536,5,0,3,0,,,,,
1473956527.408534,5,0,3,0,,,,,
1473956528.408539,5,0,3,0,,,,,
1473956529.409717,5,0,3,0,,,,,
1473956530.408746,5,0,3,0,,,,,
1473956531.408530,5,0,3,0,,,,,
1473956532.408540,5,0,3,0,,,,,
1473956533.408530,5,0,3,0,,,,,
1473956534.415925,5,0,3,0,,,,,
1473956535.408974,5,0,3,0,,,,,
1473956536.408529,5,0,3,0,,,,,
1473956537.408567,5,0,3,0,,,,,
1473956538.408748,5,0,3,0,,,,,
1473956539.409145,5,0,3,0,,,,,
1473956540.408560,5,0,3,0,,,,,
1473956541.413175,5,0,3,0,,,,,
1473956542.408541,5,0,3,0,,,,,
1473956543.408550,5,0,3,0,,,,,
1473956544.408537,5,0,3,0,,,,,
1473956545.409983,5,0,3,0,,,,,
1473956546.408543,5,0,3,0,,,,,
1473956547.408657,5,0,3,0,,,,,
1473956548.408967,5,0,3,0,,,,,
1473956549.408542,5,0,3,0,,,,,
1473956550.408533,5,0,3,0,,,,,
1473956551.408560,5,0,3,0,,,,,
1473956552.408540,5,0,3,0,,,,,
1473956553.408609,5,0,3,0,,,,,
1473956554.408585,5,0,3,0,,,,,
1473956555.408938,5,0,3,0,,,,,
1473956556.408538,5,0,3,0,,,,,
1473956557.408670,5,0,3,0,,,,,
1473956558.408740,5,0,3,0,,,,,
1473956559.408535,5,0,3,0,,,,,
1473956560.408737,5,0,3,0,,,,,
1473956561.410277,5,0,3,0,,,,,
1473956562.408601,5,0,3,0,,,,,
1473956563.408536,5,0,3,0,,,,,
1473956564.408543,5,0,3,0,,,,,
1473956565.408674,5,0,3,0,,,,,
1473956566.409534,5,0,3,0,,,,,
1473956567.409352,5,0,3,0,,,,,
1473956568.408933,5,0,3,0,,,,,
1473956569.408545,5,0,3,0,,,,,
1473956570.409131,5,0,3,0,,,,,
1473956571.408532,5,0,3,0,,,,,
1473956572.408549,5,0,3,0,,,,,
1473956573.408534,5,0,3,0,,,,,
1473956574.408544,5,0,3,0,,,,,
1473956575.408533,5,0,3,0,,,,,
1473956576.409770,5,0,3,0,,,,,
1473956577.409431,5,0,3,0,,,,,
1473956578.408529,5,0,3,0,,,,,
1473956579.408546,5,0,3,0,,,,,
1473956580.408572,5,0,3,0,,,,,
1473956581.408691,5,0,3,0,,,,,
1473956582.410963,5,0,3,0,,,,,
1473956583.408528,5,0,3,0,,,,,
1473956584.413252,5,0,3,0,,,,,
1473956585.408530,5,0,3,0,,,,,
1473956586.408531,5,0,3,0,,,,,
1473956587.408543,5,0,3,0,,,,,
1473956588.408702,5,0,3,0,,,,,
1473956589.408533,5,0,3,0,,,,,
1473956590.408651,5,0,3,0,,,,,
1473956591.408708,5,0,3,0,,,,,
1473956592.408545,5,0,3,0,,,,,
1473956593.408530,5,0,3,0,,,,,
1473956594.409851,5,0,3,0,,,,,
1473956595.408538,5,0,3,0,,,,,
1473956596.410878,5,0,3,0,,,,,
1473956597.408932,5,0,3,0,,,,,
1473956598.409295,5,0,3,0,,,,,
1473956599.409201,5,0,3,0,,,,,
1473956600.408592,5,0,3,0,,,,,
1473956601.408532,5,0,3,0,,,,,
1473956602.408664,5,0,3,0,,,,,
1473956603.076996,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link timed out,1,,
1473956603.408533,5,0,3,0,,,,,
1473956604.408724,5,0,3,0,,,,,
1473956605.128725,,,,,CONTROL_LINK_TIMEOUT,Control link timeout - Control link re-established,0,,
1473956605.408809,5,0,3,0,,,,,
1473956606.408536,5,0,3,0,,,,,
1473956607.408538,5,0,3,0,,,,,
1473956608.408535,5,0,3,0,,,,,
